Fecha,Estación,Fósforo total (µg P/L),Nitrógeno total (mg N/L),Oxigeno disuelto (mg/L),Potencial de hidrogeno (pH) ,Temperatura (ºC),Chl-a (ug/L)
2012-01-19,RN5F,120,0.96,6.93,8.53,25.7,2.2
2012-03-21,RN5F,114,0.48,7.55,7.13,24.8,1.6
2012-08-15,RN5F,73.6,0.63,9.34,7.53,13.9,179
2012-12-06,RN5F,124,0.63,8.18,7.84,25.8,3
2013-02-21,RN5F,78.7,0.47,6.54,7.47,23.3,5.5
2013-07-05,RN5F,123,2.6,10.31,7.64,12.6,1
2014-02-05,RN5F,121.5,0.7,7.77,8.28,25.7,0.6
2014-05-22,RN5F,120,0.7,9.41,7.57,16.3,0.45
2014-07-30,RN5F,93.8,0.69,9.73,7.82,13.5,0.3
2014-11-26,RN5F,87.2,1,8.65,8.14,22.3,2.5
2015-03-18,RN5F,55,0.43,8,8.19,26.5,2.7
2015-06-03,RN5F,78,0.42,8.98,7.48,17.2,0.3
2015-09-02,RN5F,89,0.76,9.91,6.9,15.3,0.35
2015-12-02,RN5F,80,0.74,8.34,7.44,23.1,0.4
2016-02-24,RN5F,100,0.5,07.07,8.16,28.8,6.5
2016-05-25,RN5F,85,0.68,10.15,07.08,13.7,0.1
2016-09-21,RN5F,53,0.66,10.27,6.88,15,1.5
2016-11-30,RN5F,67,0.7,8.6,07.04,20.8,1.925
2017-07-06,RN5F,210,0.6,9.27,7.92,15.2,2.35
2017-10-04,RN5F,67,0.69,8.87,06.06,17.4,2.775
2018-01-18,RN5F,98,0.59,8.68,08.03,25.6,3.2
2018-04-11,RN5F,87,0.42,9.19,7.84,23.7,13
2019-01-16,RN5F,52,0.73,7.67,7.45,24.8,13.8
2019-03-20,RN5F,50,0.9,8.45,7.61,23.2,14.6
2019-06-26,RN5F,170,0.83,8.58,7.4,15.1,15.4
2019-10-09,RN5F,71,0.72,8.75,7.13,17.6,16.2
2020-01-29,RN5F,50,0.64,08.07,08.09,26.1,17
2020-05-06,RN5F,110,0.86,9.42,6.74,17.1,15.8
2020-09-30,RN5F,110,0.99,9.74,7.16,16.4,14.6
2021-09-08,RN5F,100,0.85,9.71,7.58,15.1,13.4
2021-12-01,RN5F,99,0.74,8.16,7.84,22.6,12.2
2022-01-19,RN5F,81,0.67,7.35,8,27.3,11
2022-08-03,RN5F,160,1.12,9.8,6.92,13.2,3.7
2009-06-02,RN13F,100,01.01,8.32,7.2,15.1,0.15
2009-09-22,RN13F,151,0.82,9.15,7.56,15.4,0.2
2010-06-09,RN13F,68,0.8,9.48,7.43,15.1,3.8
2010-08-12,RN13F,95,0.78,9.68,7.62,10.6,3.15
2010-12-09,RN13F,268,1.2,7.25,8.36,23.5,2.5
2011-04-07,RN13F,67.3,0.66,8.4,7.78,21.4,20.1
2011-06-02,RN13F,82.3,0.54,8,6.93,15.3,11.95
2012-01-26,RN13F,370,01.01,6.37,7.68,25.5,3.8
2012-03-28,RN13F,108,0.5,07.06,7.23,22.4,3.25
2012-08-22,RN13F,109,0.71,8.94,7.77,14.2,2.7
2012-12-13,RN13F,101,0.7,07.01,7.51,24.8,0.6
2013-02-28,RN13F,92.3,0.53,6.34,7.55,23.9,9.8
2013-07-11,RN13F,133,0.71,9.97,8.15,12.7,0.3
2014-02-12,RN13F,167,0.84,06.07,7.26,24.8,1.3
2014-05-28,RN13F,130,0.71,9.67,7.49,15.9,0.7
2014-08-20,RN13F,106,0.73,9.15,7.61,15.2,0.1
2014-12-03,RN13F,125,0.96,7.93,7.58,22.3,0.3
2015-03-25,RN13F,111,0.41,7.58,6.66,21.5,1.9
2015-06-10,RN13F,75,0.37,9.56,7.29,17.6,0.5
2015-09-09,RN13F,100,0.78,8.57,8.16,15.8,0.3
2015-12-10,RN13F,110,0.76,8.14,7.63,23.9,1
2016-03-02,RN13F,150,0.52,7.42,7.56,25.7,0.65
2016-06-01,RN13F,89,0.71,9.88,7.48,14.4,0.3
2016-09-28,RN13F,68,0.77,9.52,7.67,17.2,0.3
2016-11-22,RN13F,73,0.73,8.2,6.17,24.7,1.35
2017-07-11,RN13F,96,0.98,10.07,7.86,14.1,2.4
2017-10-11,RN13F,84,0.66,09.06,7.57,18.3,3.45
2018-01-24,RN13F,140,0.78,8.19,7.63,26.2,4.5
2018-04-17,RN13F,90,0.41,8.28,7.12,22.8,4.53
2018-10-02,RN13F,98,0.92,9.68,7.35,18.3,4.56
2019-01-22,RN13F,130,0.82,6.14,7.43,26.2,4.6
2019-03-27,RN13F,81,0.72,8.15,7.57,22.9,3
2019-07-02,RN13F,210,0.77,8.58,07.08,14.3,4.06
2019-10-15,RN13F,96,0.75,09.04,6.84,16.7,5.13
2020-02-04,RN13F,61,0.66,7.71,8.15,27.4,6.2
2020-05-12,RN13F,120,0.48,9.51,7.61,17.3,5.6
2020-06-30,RN13F,140,0.67,10.07,7.685,13.6,5
2021-09-15,RN13F,130,1.38,9.18,7.76,16,4.56
2021-12-07,RN13F,120,0.76,8.42,08.03,21.7,4.13
2022-01-25,RN13F,100,0.78,7.32,8.24,27.8,3.7
2022-05-03,RN13F,160,0.64,9.27,7.84,18.9,19
2022-08-16,RN13F,230,1.11,9.61,7.81,13.8,19
